epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.10507,4.64517,6.04619,2.20025,0.0001,0.025,5e-05,1e-05,3.87729,4.90137,1.59525,0.00048,0.00048,0.00048
2,6.62517,3.59642,4.42818,1.49198,0.00182,0.51,0.00162,0.0006,2.85296,4.40948,1.31895,0.00093149,0.00093149,0.00093149
3,9.29074,3.09655,3.679,1.29679,0.00236,0.315,0.00239,0.00075,3.4605,5.06499,2.54761,0.00133348,0.00133348,0.00133348
4,11.8427,2.89865,3.29107,1.2479,0.14506,0.005,0.05329,0.01662,3.82709,3.52517,3.18706,0.00168597,0.00168597,0.00168597
5,14.4598,2.76155,3.20089,1.23011,0.27091,0.095,0.08417,0.02298,3.35149,3.11673,2.08093,0.001604,0.001604,0.001604
6,17.3647,2.65985,3.08462,1.2213,0.18637,0.14,0.05421,0.01163,3.25028,3.28039,1.72975,0.001505,0.001505,0.001505
7,19.8509,2.66798,2.87039,1.18849,0.26095,0.33,0.17174,0.07093,2.34739,3.68263,1.1864,0.001406,0.001406,0.001406
8,22.45,2.61457,2.71885,1.17333,0.40853,0.27,0.23187,0.08102,2.54126,2.99024,1.22339,0.001307,0.001307,0.001307
9,25.1038,2.53904,2.6077,1.13828,0.42306,0.315,0.26712,0.09735,2.37045,2.48016,1.14352,0.001208,0.001208,0.001208
10,27.5369,2.55605,2.68312,1.13096,0.44361,0.33886,0.28637,0.11241,2.19489,2.41,1.10951,0.001109,0.001109,0.001109
11,30.8246,2.2587,2.4907,1.14911,0.60813,0.485,0.47828,0.20473,2.38782,2.03607,1.13104,0.00101,0.00101,0.00101
12,33.5408,2.28854,2.23805,1.16034,0.73702,0.49045,0.5263,0.1698,2.46101,2.46295,1.11808,0.000911,0.000911,0.000911
13,36.2553,2.1352,1.93452,1.13134,0.79409,0.51,0.57743,0.25194,2.04384,3.42934,1.07401,0.000812,0.000812,0.000812
14,39.2891,2.08916,1.81319,1.11654,0.80693,0.48,0.57,0.25562,2.0625,1.71399,1.09186,0.000713,0.000713,0.000713
15,42.2192,2.06195,1.762,1.09746,0.81206,0.51852,0.60696,0.34118,1.77915,1.42134,1.00155,0.000614,0.000614,0.000614
16,44.9368,2.02109,1.60694,1.08649,0.91497,0.57,0.67835,0.38084,1.72497,1.34743,1.0225,0.000515,0.000515,0.000515
17,47.9022,2.05387,1.57085,1.09828,0.94862,0.58,0.666,0.29036,2.26175,1.36053,1.07815,0.000416,0.000416,0.000416
18,50.7557,2.00943,1.56249,1.06677,0.94987,0.575,0.67128,0.29389,2.03717,1.47012,1.04494,0.000317,0.000317,0.000317
19,53.522,1.96987,1.61089,1.06452,0.95735,0.585,0.69614,0.35572,1.69275,1.34229,0.99505,0.000218,0.000218,0.000218
20,56.5102,1.94135,1.58844,1.04638,0.93306,0.6,0.71045,0.37704,1.7014,1.32342,0.99413,0.000119,0.000119,0.000119
